,file,weight,normalized_weight,x_avg,y_avg,x_avg_rel,y_avg_rel,moment_x,moment_y,moment_x_rel,moment_y_rel,moment_45,moment_135,moment_45_rel,moment_135_rel
0,0.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
1,1.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
2,2.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
3,3.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
4,4.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
5,5.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
6,6.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
7,7.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
8,8.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
9,9.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
10,A.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
11,B.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
12,C.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
13,D.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
14,E.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
15,F.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
16,G.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
17,H.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
18,I.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
19,J.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
20,K.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
21,L.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
22,M.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
23,N.png,12000.0,1.0,0.009916666666666667,0.00825,-0.010000841750841752,-0.008334033613445379,9799.3665680625,14158.63993167361,6.805115672265624e-05,9.832388841440007e-05,399.9333361111113,47516.07966336111,2.7773148341049396e-06,0.0003299727754400077
